"","Datein","FR(m3/dia)","BODin (ppm)","CODin (ppm)","SSin(ppm)","pHin","NAmin(ppm)","NNin (ppm)","Pin (ppm)","Colin(ppm)","Tin(°C)","Condin L1","RF(mm)","Pulp(ton/dia)","Pap (ton/dia)","...16","Dateout","BODout(ppm)","CODout (ppm)","SSout(ppm)","Colout(ppm)","Tout(°C)","Condout","FRout(m3/dia)","FRmod(m3/dia)"
"1",1996-09-01,79757,236,465,NA,6.65,NA,NA,NA,356,NA,1180,4.8,878.13,962.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1996-09-02,78818,270,483,NA,6.04,NA,0.26,NA,433,43,1230,1.5,925.6,986.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1996-09-03,82039,292,571,NA,5.39,NA,0.29,NA,287,43.5,1030,39.7,972.6,1065,NA,35311,74,245,NA,311,33.5,1190,84096.8495,NA
"4",1996-09-04,79501,264,461,NA,5.92,NA,0.75,NA,406,43,1150,0.8,744.481,879.7,NA,35312,88,237,NA,298,33,1140,79542.468,NA
"5",1996-09-05,82461,299,471,181,6.11,NA,NA,NA,406,43,1210,26.1,891.033,985.8,NA,35313,67,221,37,297,33,1115,83813.8935,NA
"6",1996-09-06,77323,235,353,NA,6.29,NA,NA,NA,302,43,1176,NA,814.053,1003,NA,35314,44,148,NA,239,33,780,77323,NA
"7",1996-09-07,79129,247,391,NA,6.17,NA,NA,NA,318,NA,1075,3,848.071,1064.2,NA,35315,46,187,NA,306,NA,1160,79284.505,79842.2857142857
"8",1996-09-08,78475,255,472,NA,6.63,NA,NA,NA,318,NA,1216,46.2,964.139,1077.1,NA,35316,53,232,NA,300,NA,1200,80869.777,79715.5714285714
"9",1996-09-09,81565,267,473,NA,6.82,NA,NA,2.04,384,43,1148,22.6,736.316,1004.4,NA,35317,62,219,NA,277,32.5,1129,82736.471,79763.7142857143
"10",1996-09-10,82320,283,472,NA,9.35,1.2,NA,0.92,405,42.5,1248,29.8,944.266,1003.8,NA,35318,64,204,NA,287,32,1125,83864.683,79629.8571428571
"11",1996-09-11,82851,286,464,NA,6.34,1.8,NA,NA,288,41,1125,12,837.711,1036.6,NA,35319,68,200,NA,307,31,1185,83473.02,79387.5714285714
"12",1996-09-12,79417,207,504,83,6.2,NA,NA,NA,367,41,1220,NA,842.409,1045,NA,35320,62,199,31,290,30.5,1125,79417,78950.5714285714
"13",1996-09-13,77128,342,582,NA,6.32,NA,NA,1.69,351,44,1515,NA,867.694,930,NA,35321,94,278,NA,417,32,2020,77128,79250.2142857143
"14",1996-09-14,77008,254,471,NA,6.08,NA,NA,NA,381,NA,1419,NA,869.478,1075.1,NA,35322,53,221,NA,320,NA,1313,77008,79440.2142857143
"15",1996-09-15,77983,224,446,NA,6.66,NA,NA,NA,334,NA,1190,NA,884.067,934.3,NA,35323,51,240,NA,361,NA,1266,77983,79619
"16",1996-09-16,79492,211,425,NA,6.62,NA,1.63,NA,362,44,1350,NA,962.478,1023.2,NA,35324,58,228,NA,346,34,1368,79492,79425
"17",1996-09-17,80165,282,471,NA,7.13,NA,0.69,NA,411,44,1300,5.9,939.255,1033.8,NA,35325,48,198,NA,337,34,1270,80470.8265,79275.4285714286
"18",1996-09-18,76109,244,511,NA,11.39,NA,NA,NA,504,43,1850,NA,969.905,1063.6,NA,35326,64,215,NA,360,33.5,1301,76109,79203.2857142857
"19",1996-09-19,76343,231,425,90,6.36,NA,NA,NA,329,43,1110,NA,877.811,984.1,NA,35327,46,199,10,389,33,1390,76343,79291.1428571429
"20",1996-09-20,81518,243,368,NA,6.04,NA,0.96,NA,230,43.5,971,NA,990.1,873.996,NA,35328,66,208,NA,340,34,1445,81518,79399.1428571429
"21",1996-09-21,81789,195,379,NA,6.51,NA,NA,NA,298,NA,1138,NA,871.959,817,NA,35329,63,201,NA,320,NA,1296,81789,79515.7142857143
"22",1996-09-22,80978,195,440,NA,6.64,NA,NA,NA,384,NA,1193,NA,781.613,801.9,NA,35330,55,213,NA,312,NA,1218,80978,79539.2142857143
"23",1996-09-23,78849,204,365,NA,6.44,NA,NA,1.32,276,42,1030,NA,699.713,1029.5,NA,35331,59,213,NA,325,34,1262,78849,79496.3571428571
"24",1996-09-24,80226,193,403,NA,6.12,1.7,NA,1.11,271,44.53,1070,NA,822.965,1069.9,NA,35332,45,182,NA,299,35.5,1163,80226,79454.8571428571
"25",1996-09-25,81841,259,442,NA,4.7,1.5,NA,NA,353,43.5,1240,6.3,966.132,1094.1,NA,35333,53,192,NA,260,35,1147,82167.5605,79860.7142857143
"26",1996-09-26,80647,265,465,30,6.07,1.5,NA,NA,331,44.5,1101,NA,862.26,963.4,NA,35334,57,203,30,267,35,1213,80647,80532
"27",1996-09-27,78640,183,440,NA,7.17,NA,NA,NA,255,45.5,1048,NA,748.127,1004.7,NA,35335,32,196,NA,239,35,1008,78640,80396.2857142857
"28",1996-09-28,78640,206,395,NA,7.5,NA,NA,NA,299,NA,1320,NA,940.711,1014.1,NA,35336,45,196,NA,315,NA,1205,78640,80263.6428571429
"29",1996-09-29,78312,191,411,NA,9.17,NA,NA,NA,404,NA,1042,NA,923.143,1004.1,NA,35337,73,254,NA,363,NA,1300,78312,80319.4285714286
"30",1996-09-30,78892,189,396,NA,6.7,NA,1.21,NA,365,45,1069,NA,869.054,1039.2,NA,35338,62,230,NA,371,35,1218,78892,80315.3571428571
